A;Augsburg;Bayern;/wiki/Augsburg;(48.371666666667, 10.898333333333);['Stadt Augsburg', 'Landkreis Augsburg'];[('Liste aller deutschen Kfz-Kennzeichen mit einer Gebietseinteilung', '/wiki/Liste_aller_deutschen_Kfz-Kennzeichen_mit_einer_Gebietseinteilung#A1'), ('Augsburg', '/wiki/Augsburg'), ('Bayern', '/wiki/Bayern'), ('Landkreis Augsburg', '/wiki/Landkreis_Augsburg')]
AA;AAlen;Baden-Württemberg;/wiki/Ostalbkreis;(48.835, 10.093333333333);['Ostalbkreis'];[('Ostalbkreis', '/wiki/Ostalbkreis'), ('Aalen', '/wiki/Aalen'), ('Baden-Württemberg', '/wiki/Baden-W%C3%BCrttemberg')]
AB;AschaffenBurg;Bayern;/wiki/Aschaffenburg;(49.976702777778, 9.1477472222222);['Stadt Aschaffenburg', 'Landkreis Aschaffenburg'];[('Liste aller deutschen Kfz-Kennzeichen mit einer Gebietseinteilung', '/wiki/Liste_aller_deutschen_Kfz-Kennzeichen_mit_einer_Gebietseinteilung#AB'), ('Aschaffenburg', '/wiki/Aschaffenburg'), ('Bayern', '/wiki/Bayern'), ('Landkreis Aschaffenburg', '/wiki/Landkreis_Aschaffenburg')]
ABG;AltenBurG;Thüringen;/wiki/Landkreis_Altenburger_Land;(50.96, 12.4);['Landkreis Altenburger Land'];[('Landkreis Altenburger Land', '/wiki/Landkreis_Altenburger_Land'), ('Altenburg', '/wiki/Altenburg'), ('Thüringen', '/wiki/Th%C3%BCringen')]
ABI;Anhalt-BItterfeld;Sachsen-Anhalt;/wiki/Landkreis_Anhalt-Bitterfeld;(51.77, 12.07);['Landkreis Anhalt-Bitterfeld'];[('Landkreis Anhalt-Bitterfeld', '/wiki/Landkreis_Anhalt-Bitterfeld'), ('Anhalt', '/wiki/Anhalt'), ('Bitterfeld', '/wiki/Bitterfeld'), ('Sachsen-Anhalt', '/wiki/Sachsen-Anhalt')]
AC;AaChen;Nordrhein-Westfalen;/wiki/St%C3%A4dteregion_Aachen;(50.7687, 6.097);['Städteregion Aachen'];[('Städteregion Aachen', '/wiki/St%C3%A4dteregion_Aachen'), ('Aachen', '/wiki/Aachen'), ('Nordrhein-Westfalen', '/wiki/Nordrhein-Westfalen')]
AE;AuErbach;Sachsen;/wiki/Vogtlandkreis;(50.48, 12.12);['Vogtlandkreis'];[('Vogtlandkreis', '/wiki/Vogtlandkreis'), ('Auerbach/Vogtl.', '/wiki/Auerbach/Vogtl.'), ('Sachsen', '/wiki/Sachsen')]
AH;AHaus;Nordrhein-Westfalen;/wiki/Kreis_Borken;(51.8515, 6.8424);['Kreis Borken'];[('Kreis Borken', '/wiki/Kreis_Borken'), ('Ahaus', '/wiki/Ahaus'), ('Nordrhein-Westfalen', '/wiki/Nordrhein-Westfalen')]
AIB;AIBling;Bayern;/wiki/Landkreis_M%C3%BCnchen;(48.07, 11.63);['Landkreis München', 'Landkreis Rosenheim'];[('Liste aller deutschen Kfz-Kennzeichen mit einer Gebietseinteilung', '/wiki/Liste_aller_deutschen_Kfz-Kennzeichen_mit_einer_Gebietseinteilung#AIB'), ('Landkreis München', '/wiki/Landkreis_M%C3%BCnchen'), ('Bad Aibling', '/wiki/Bad_Aibling'), ('Bayern', '/wiki/Bayern'), ('Landkreis Rosenheim', '/wiki/Landkreis_Rosenheim')]
AIC;AIChach;Bayern;/wiki/Landkreis_Aichach-Friedberg;(48.43, 11.05);['Landkreis Aichach-Friedberg'];[('Landkreis Aichach-Friedberg', '/wiki/Landkreis_Aichach-Friedberg'), ('Aichach', '/wiki/Aichach'), ('Bayern', '/wiki/Bayern')]
